StationCode,Lat,Lon,WaterLevel_m_bgl,Datetime
220418,25.22861,80.8475,5.1,Post-monsoon_2020
BKPZ-102,24.40667,71.68778,29.64,Post-monsoon_2020
220420,25.24206,80.92355,4.35,Post-monsoon_2020
CHHAT096-OW,25.11588,79.56843,5.75,Post-monsoon_2020
BKSSPZ-25,24.45917,71.79194,37.4,Post-monsoon_2020
SSGNPZ-014,23.40417,72.62556,33.1,Post-monsoon_2020
340226,25.90139,80.23417,24.25,Post-monsoon_2020
340221,25.74611,80.2125,18.65,Post-monsoon_2020
G_1_BK_027,24.32,71.98,124.3,Post-monsoon_2020
220208,25.36345,81.13819,7.95,Post-monsoon_2020
W271555076285601,27.265,76.482,21.0,Post-monsoon_2020
140701,25.24028,80.65806,9.0,Post-monsoon_2020
510416,25.31972,79.74528,5.5,Post-monsoon_2020
220217,25.25157,81.20749,9.56,Post-monsoon_2020
510308,25.22361,79.55083,4.25,Post-monsoon_2020
220103,25.202,81.372,15.35,Post-monsoon_2020
340305,25.71461,79.99654,8.15,Post-monsoon_2020
510228,25.47516,80.01046,6.25,Post-monsoon_2020
W263830077001501,26.6419,77.0,17.06,Post-monsoon_2020
60211,13.489,76.0888,25.45,Post-monsoon_2020
510224,25.13707,79.70916,6.75,Post-monsoon_2020
140513,25.82861,80.32389,10.6,Post-monsoon_2020
340314,25.60306,80.16278,15.25,Post-monsoon_2020
140104,25.43,80.41861,5.0,Post-monsoon_2020
220127,25.24694,81.45,1.25,Post-monsoon_2020
140618,25.65056,80.45972,15.63,Post-monsoon_2020
510236,25.28464,79.92701,5.45,Post-monsoon_2020
TKM045-OW,24.69047,79.23897,6.0,Post-monsoon_2020
140609,25.615,80.54389,17.2,Post-monsoon_2020
G_1_BK_067,23.99306,71.85083,89.6,Post-monsoon_2020
140607,25.60948,80.3964,20.9,Post-monsoon_2020
CHHAT002-OW,25.23333,79.26667,15.05,Post-monsoon_2021
Kh_27.980_77.416,27.9809,77.4169,13.05,Post-monsoon_2021
G_1_BK_095,24.05,72.41,51.7,Post-monsoon_2021
510408,25.45528,79.76139,5.05,Post-monsoon_2021
Tu_28.002_77.341,28.0021,77.3417,10.61,Post-monsoon_2021
G_1_BK_098,24.14,72.61,22.8,Post-monsoon_2021
400121,25.19121,78.48742,1.54,Post-monsoon_2021
510405,25.44833,79.79222,9.45,Post-monsoon_2021
W251154080294501,25.19833,80.49583,2.35,Post-monsoon_2021
HPII_MHS_002,23.54722,72.10556,3.5,Post-monsoon_2021
510241,25.4,80.08306,10.15,Post-monsoon_2021
CHHAT018-OW,25.01798,79.48086,10.8,Post-monsoon_2021
Mo_30.2427_76.8457,30.2428,76.8458,7.42,Post-monsoon_2021
060202 New,13.5951,75.9742,22.5,Post-monsoon_2021
W244730079474301,24.792,79.795,6.28,Post-monsoon_2021
020807A,16.0772,75.3691,21.8,Post-monsoon_2021
131015,13.2622,77.8467,30.1,Post-monsoon_2021
W225805069261501,22.96806,69.4375,10.46,Post-monsoon_2021
HP II KCH 016,22.9,69.14,8.0,Post-monsoon_2021
CHHAT099-OW,25.088,79.7013,13.1,Post-monsoon_2021
510211,25.492,80.123,7.6,Post-monsoon_2021
110318,13.1488,76.2286,6.3,Post-monsoon_2021
110113,28.92468,77.24434,16.92,Post-monsoon_2021
170204HP,13.9613,75.8547,23.9,Post-monsoon_2021
130504,13.705,77.494,11.65,Post-monsoon_2021
W264700076130001,26.7833,76.2167,12.45,Post-monsoon_2021
G_1_BK_056,24.55,71.94,73.8,Post-monsoon_2021
HPIIPTN013,23.91,72.34,33.05,Post-monsoon_2021
MSHPZ-225,23.85,72.76,23.6,Post-monsoon_2021
Ma_28.300_76.692,28.3001,76.6921,39.23,Post-monsoon_2021
130305,13.57716,77.78291,12.5,Post-monsoon_2021
HPII_BK_004,24.37417,72.21917,7.1,Post-monsoon_2021
BKSSPZ-22,24.42583,71.78056,39.4,Post-monsoon_2021
BKPZ-090,24.15278,72.11056,104.6,Post-monsoon_2021
130307,13.52987,77.75061,45.3,Post-monsoon_2021
220503,25.05485,81.04869,1.55,Post-monsoon_2021
G_1_BK_041,24.29556,71.7275,107.1,Post-monsoon_2021
BKSSPZ-26,24.49472,71.82944,51.3,Post-monsoon_2021
G_1_BK_019,24.36361,72.28944,18.15,Post-monsoon_2021
G_1_BK_022,24.49194,72.30222,31.2,Post-monsoon_2021
W174035075394001,17.674898,75.657692,2.95,Post-monsoon_2022
W174100075400001,17.683333,75.666667,4.4,Post-monsoon_2022
W173600075360001,17.6,75.6,4.7,Post-monsoon_2022
W174800075030001,17.8,75.05,6.4,Post-monsoon_2022
W175030074165001,17.839323,74.286152,1.8,Post-monsoon_2022
W175300075073501,17.88646,75.126303,4.95,Post-monsoon_2022
W172700074243001,17.489929,74.426549,4.0,Post-monsoon_2022
W172740074191703,17.46075,74.318425,2.9,Post-monsoon_2022
W175215074382001,17.872497,74.638616,6.3,Post-monsoon_2022
W174320074161002,17.716678,74.288607,1.0,Post-monsoon_2022
W172952074201701,17.497786,74.335587,1.6,Post-monsoon_2022
W173400074310001,17.566667,74.516667,4.48,Post-monsoon_2022
W174930074503001,17.82302,74.974789,2.15,Post-monsoon_2022
W175430074454001,17.899534,74.658863,3.65,Post-monsoon_2022
W175600074410001,17.933333,74.683333,3.5,Post-monsoon_2022
W173420074313001,17.568407,74.51751,5.0,Post-monsoon_2022
W173900074310001,17.652847,74.518406,4.8,Post-monsoon_2022
W174515074505001,17.753563,74.847355,2.0,Post-monsoon_2022
W173610074250001,17.601066,74.420741,3.5,Post-monsoon_2022
W175500073390001,17.916667,73.65,4.92,Post-monsoon_2022
W175240074400501,17.958925,74.693442,1.9,Post-monsoon_2022
W175500073450001,17.922412,73.808003,6.2,Post-monsoon_2022
W173700075380001,17.616667,75.633333,1.6,Post-monsoon_2022
W172625074325001,17.444717,74.550647,3.4,Post-monsoon_2022
W174405075332801,17.734397,75.553858,3.4,Post-monsoon_2022
W174505075432501,17.750251,75.723713,2.9,Post-monsoon_2022
W165205074251001,16.868055,74.419441,0.9,Post-monsoon_2022
W165736074391201,16.960306,74.653306,4.8,Post-monsoon_2022
W173825075423601,17.644618,75.728956,4.5,Post-monsoon_2022
W170624074340501,17.106667,74.568056,4.9,Post-monsoon_2022
W175415075404001,17.90004,75.674905,2.8,Post-monsoon_2022
W170017074431201,17.043694,74.511111,3.55,Post-monsoon_2022
W174455075314501,17.74739,75.530127,2.0,Post-monsoon_2022
W173200074200001,17.533333,74.333333,5.28,Post-monsoon_2022
W173605075361501,17.603227,75.60345,2.4,Post-monsoon_2022
W174609074195101,17.769167,74.330833,4.3,Post-monsoon_2022
W174800075354501,17.797875,75.595246,5.1,Post-monsoon_2022
W173725075395001,17.623855,75.658393,3.2,Post-monsoon_2022
W170656074351501,17.115556,74.5875,0.92,Post-monsoon_2022
W175015074161001,17.8375,74.269444,0.9,Post-monsoon_2022
W175220075403001,17.871116,75.675569,1.2,Post-monsoon_2022
W173030074284001,17.501778,74.483083,3.8,Post-monsoon_2022
W173225074200401,17.537471,74.351032,1.6,Post-monsoon_2022
W164448074420701,16.746666,74.701942,3.0,Post-monsoon_2022
W174120075354501,17.6929,75.568849,5.1,Post-monsoon_2022
W175620074403001,17.944609,74.674743,4.1,Post-monsoon_2022
W174610074195001,17.774443,74.331697,2.7,Post-monsoon_2022
W172520074295001,17.421003,74.500337,6.2,Post-monsoon_2022
W173045074333001,17.513325,74.556623,0.5,Post-monsoon_2022
W173625074191001,17.606758,74.31717,2.4,Post-monsoon_2022
W173548074233001,17.594727,74.390231,6.0,Post-monsoon_2022
W174650074174002,17.774118,74.29131,5.1,Post-monsoon_2022
W172743074370501,17.461944,74.618056,3.9,Post-monsoon_2022
W172804074243601,17.468651,74.405241,1.6,Post-monsoon_2022
W174212075051201,17.706022,75.085489,2.45,Post-monsoon_2022
W175520073392001,17.922222,73.655556,10.1,Post-monsoon_2022
W175800073590001,17.966667,73.983333,4.2,Post-monsoon_2022
W175430075240001,17.910806,75.399337,10.9,Post-monsoon_2022
W175700073540001,17.95,73.9,2.8,Post-monsoon_2022
W175420073582501,17.903823,73.972671,3.0,Post-monsoon_2022
W175430075193101,17.932825,75.368429,10.8,Post-monsoon_2022
W180015073461401,18.006032,73.781202,0.1,Post-monsoon_2022
W175900073492001,17.984891,73.822513,10.0,Post-monsoon_2022
W175800075183001,17.970248,75.311931,4.1,Post-monsoon_2022
W175000073571501,17.841536,73.953363,1.5,Post-monsoon_2022
W175945073595001,17.99791,73.991807,2.7,Post-monsoon_2022
W175700073535301,17.951849,73.893705,5.0,Post-monsoon_2022
W175430075193001,17.909313,75.323876,4.1,Post-monsoon_2022
W175620073534501,17.939128,73.895521,2.3,Post-monsoon_2022
W180135075113001,18.0267,75.195213,3.5,Post-monsoon_2022
W174730074292501,17.791545,74.49119,4.5,Post-monsoon_2022
W180450075260101,18.080556,75.433611,6.9,Post-monsoon_2022
W180218075305901,18.038333,75.516389,7.1,Post-monsoon_2022
W175715075160201,17.954167,75.267222,2.5,Post-monsoon_2022
W180145075113001,18.029167,75.191667,6.2,Post-monsoon_2022
W180210075070001,18.036842,75.116559,1.7,Post-monsoon_2022
W175845075143501,17.952239,75.268689,3.15,Post-monsoon_2022
W180414075204801,18.070556,75.346667,4.0,Post-monsoon_2022
W180845075245301,18.149633,75.412648,3.2,Post-monsoon_2022
W180025075222701,18.006944,75.374167,5.4,Post-monsoon_2022
W180000075180001,18.019028,75.301288,2.15,Post-monsoon_2022
W180010075411501,18.003929,75.687924,1.4,Post-monsoon_2022
W180424075133202,18.074068,75.224041,3.75,Post-monsoon_2022
W180140075351501,18.027858,75.586361,5.25,Post-monsoon_2022
W175922075390701,17.988775,75.652303,4.1,Post-monsoon_2022
W180200075310001,18.035481,75.517202,6.0,Post-monsoon_2022
W181300075240001,18.216667,75.4,3.6,Post-monsoon_2022
W175530073453001,17.924999,73.758331,3.3,Post-monsoon_2022
W174733074255001,17.792204,74.428825,2.7,Post-monsoon_2022
W174242074494501,17.733253,74.462215,4.5,Post-monsoon_2022
W174640074553001,17.776922,74.923683,3.03,Post-monsoon_2022
W175528073482201,17.924444,73.806114,11.0,Post-monsoon_2022
W181445075234501,18.248239,75.394624,1.75,Post-monsoon_2022
W174100074580201,17.678957,74.966091,3.1,Post-monsoon_2022
W174427074414901,17.740833,74.696944,1.92,Post-monsoon_2022
W173800074470001,17.633333,74.783333,16.53,Post-monsoon_2022
W172800074490001,17.467238,74.816058,3.9,Post-monsoon_2022
W174704074361501,17.784444,74.604167,6.82,Post-monsoon_2022
W173915074511001,17.653436,74.85138,0.5,Post-monsoon_2022
W175150074544001,17.863755,74.907388,2.0,Post-monsoon_2022
W173740074434001,17.628217,74.72413,7.5,Post-monsoon_2022
W173800074472801,17.633701,74.780898,3.6,Post-monsoon_2022
W174503075071001,17.750833,75.119444,1.6,Post-monsoon_2022
W175144074311101,17.864189,74.51964,2.5,Post-monsoon_2022
W174211074255801,17.70235,74.426542,2.4,Post-monsoon_2022
W174310074383002,17.719951,74.640275,1.8,Post-monsoon_2022
W172830074480501,17.475433,74.802715,3.8,Post-monsoon_2022
W173855074580501,17.643894,74.956833,1.2,Post-monsoon_2022
W174140075023001,17.694444,75.041667,0.5,Post-monsoon_2022
W174055074580101,17.681944,74.966944,1.3,Post-monsoon_2022
W175335074442001,17.893056,74.738889,2.8,Post-monsoon_2022
W175200074540001,17.866667,74.9,1.2,Post-monsoon_2022
W175059074393301,17.842217,74.672073,2.7,Post-monsoon_2022
W175800075293001,17.967969,75.493391,5.1,Post-monsoon_2022
W173520074484001,17.590799,74.808902,1.9,Post-monsoon_2022
W173200074421001,17.535594,74.700724,1.8,Post-monsoon_2022
W173035074483501,17.514364,74.810588,3.5,Post-monsoon_2022
W174655074362001,17.784472,74.604306,3.1,Post-monsoon_2022
W174417074311501,17.744238,74.519514,7.0,Post-monsoon_2022
W174226074330501,17.707222,74.551389,2.28,Post-monsoon_2022
W175555074484501,17.93256,74.812638,2.7,Post-monsoon_2022
W175425073560501,17.900389,73.935972,5.2,Post-monsoon_2022
W171940074313501,17.327778,74.526389,1.48,Post-monsoon_2022
W165141074522001,16.861389,74.872223,2.0,Post-monsoon_2022
W181341074231101,18.210504,74.367567,0.4,Post-monsoon_2022
W181230074174501,18.242104,74.264367,2.1,Post-monsoon_2022
W180540074364001,18.094444,74.611111,0.15,Post-monsoon_2022
W181023074262701,18.171204,74.437967,1.7,Post-monsoon_2022
W181645074223001,18.276804,74.374067,0.55,Post-monsoon_2022
W180813074231501,18.136944,74.3875,2.8,Post-monsoon_2022
W180331074291101,18.0583,74.4875,2.4,Post-monsoon_2022
W180811074275301,18.132904,74.453367,2.7,Post-monsoon_2022
W181757074185201,18.280904,74.304667,5.95,Post-monsoon_2022
W180810074151501,18.136111,74.254167,1.8,Post-monsoon_2022
W181930075575001,18.325,75.963889,1.0,Post-monsoon_2022
W181453076044001,18.3328,76.0744,2.2,Post-monsoon_2022
W181927076081101,18.324167,76.136389,1.53,Post-monsoon_2022
W182120076132001,18.0367,76.22,3.2,Post-monsoon_2022
W180200076130001,18.033333,76.216667,3.35,Post-monsoon_2022
W181145076125301,18.1947,76.2628,4.8,Post-monsoon_2022
W181130076025301,18.3078,76.0472,0.6,Post-monsoon_2022
W182025076015201,18.3408,76.0308,2.8,Post-monsoon_2022
W180602074285001,18.100556,74.480556,5.1,Post-monsoon_2022
W182022076140001,18.3414,76.2317,2.2,Post-monsoon_2022
W181250074172001,18.211504,74.286567,1.3,Post-monsoon_2022
W181450074322001,18.247222,74.538889,2.05,Post-monsoon_2022
W180017074551502,18.001604,74.917367,3.8,Post-monsoon_2022
W180504074554401,18.076504,74.898767,4.4,Post-monsoon_2022
W181658074444801,18.2831,74.7472,0.3,Post-monsoon_2022
W181213074545601,18.2045,74.9144,1.7,Post-monsoon_2022
W181348074395501,18.240304,74.664167,2.9,Post-monsoon_2022
W180711074433201,18.136404,74.720867,2.3,Post-monsoon_2022
W180909074553201,18.1494,74.9075,3.8,Post-monsoon_2022
W180147074470401,18.024004,74.770167,1.7,Post-monsoon_2022
W182010074231501,18.332304,74.382367,1.4,Post-monsoon_2022
W180635075013501,18.1133,75.0291,3.5,Post-monsoon_2022
W180830074593801,18.14581,74.995735,1.5,Post-monsoon_2022
W181837074452101,18.306643,74.753375,2.6,Post-monsoon_2022
W181342074463701,18.229,74.774,0.8,Post-monsoon_2022
W175800074595802,17.9388,75.0046,3.6,Post-monsoon_2022
W180500074474701,18.07986,74.796434,3.9,Post-monsoon_2022
W180500074550001,18.083333,74.916667,2.8,Post-monsoon_2022
W181600074460001,18.266667,74.766667,0.95,Post-monsoon_2022
W181455074323001,18.2458,74.5375,1.6,Post-monsoon_2022
W180432075061001,18.0794,75.0911,1.4,Post-monsoon_2022
W181035074510001,18.172,74.8484,0.9,Post-monsoon_2022
W181810076072001,18.3494,76.1139,4.8,Post-monsoon_2022
W182125076143001,18.3086,76.2142,3.2,Post-monsoon_2022
W174930076420501,17.8289,76.6886,0.9,Post-monsoon_2022
W174940076275001,17.829202,76.464256,0.8,Post-monsoon_2022
W175843076354301,17.9828,76.5953,1.4,Post-monsoon_2022
W175350076430001,17.8906,76.7153,0.8,Post-monsoon_2022
W174400076344502,17.7339,76.5811,0.6,Post-monsoon_2022
W180025076355001,18.0242,76.5967,1.6,Post-monsoon_2022
W175525076294501,17.924862,76.497543,1.4,Post-monsoon_2022
W174710076333001,17.7878,76.5564,1.8,Post-monsoon_2022
W175115076261501,17.859731,76.430044,1.3,Post-monsoon_2022
W175710076340901,17.8533,76.5672,1.5,Post-monsoon_2022
W174305076403001,17.7183,76.6722,1.2,Post-monsoon_2022
W174450076385001,17.7475,76.645,0.2,Post-monsoon_2022
W175530076350501,17.9414,76.5992,0.6,Post-monsoon_2022
W174133076253801,17.6897,76.4181,2.6,Post-monsoon_2022
W175029076372401,17.841389,76.623333,1.9,Post-monsoon_2022
W175000076410001,17.833333,76.683333,1.6,Post-monsoon_2022
W175902076331201,17.983889,76.553333,1.7,Post-monsoon_2022
W175702076361101,17.950556,76.603056,1.2,Post-monsoon_2022
W174800076300001,17.8056,76.5967,1.7,Post-monsoon_2022
W181710076105001,18.2864,76.1831,3.0,Post-monsoon_2022
W182226076061001,18.373889,76.102778,4.4,Post-monsoon_2022
W181104075590401,18.184444,75.984444,4.05,Post-monsoon_2022
W181650076081001,18.2775,76.1367,8.05,Post-monsoon_2022
W180715076044501,18.1211,76.0794,2.0,Post-monsoon_2022
W181530076083001,18.2244,76.1411,2.8,Post-monsoon_2022
W180917076055001,18.1383,76.1297,3.0,Post-monsoon_2022
W181340076111501,18.2289,76.1864,2.6,Post-monsoon_2022
W180415076143001,18.0742,76.2389,2.8,Post-monsoon_2022
W181120076034001,18.194229,76.045388,2.2,Post-monsoon_2022
W181555076161501,18.2669,76.2811,2.4,Post-monsoon_2022
W180243076162901,18.045278,76.274722,3.5,Post-monsoon_2022
W181810076101001,18.2269,76.2503,4.0,Post-monsoon_2022
W181908076033501,18.1942,75.9553,1.1,Post-monsoon_2022
W181240076142301,18.233654,75.995215,2.0,Post-monsoon_2022
W182200076054001,18.3658,76.0928,2.1,Post-monsoon_2022
W180550075582001,18.0989,75.9708,2.6,Post-monsoon_2022
W181030076023001,18.1675,76.041667,1.2,Post-monsoon_2022
W180715076045001,18.120833,76.080556,1.0,Post-monsoon_2022
W181200076050001,18.2,76.083333,6.05,Post-monsoon_2022
W181048076024301,18.18,76.045278,7.8,Post-monsoon_2022
W181830076152501,18.3069,76.29,4.2,Post-monsoon_2022
W175452075002701,17.9167,75.0082,0.9,Post-monsoon_2022
W181525074411501,18.255304,74.685867,4.5,Post-monsoon_2022
W181200074571501,18.201,74.952,1.9,Post-monsoon_2022
W170100074482701,17.016667,74.8075,1.1,Post-monsoon_2022
W165523074535501,16.923056,74.898611,0.48,Post-monsoon_2022
W165807074564701,16.969778,74.946583,5.4,Post-monsoon_2022
W170152074495201,17.031111,74.831111,2.4,Post-monsoon_2022
W170705074515601,17.118056,74.865556,1.2,Post-monsoon_2022
W170335074515201,17.059722,74.864444,3.9,Post-monsoon_2022
W170326074515201,17.057222,74.864444,4.51,Post-monsoon_2022
W165924075012501,16.99,75.023611,2.7,Post-monsoon_2022
W175025075354501,17.84142,75.595536,10.3,Post-monsoon_2022
W170712074555301,17.122222,74.930056,2.6,Post-monsoon_2022
W165814074482301,16.973917,74.804806,0.6,Post-monsoon_2022
W165844074454701,16.978111,74.761111,1.0,Post-monsoon_2022
W170930074583601,17.157833,74.971917,0.5,Post-monsoon_2022
W170702074561201,17.1405,74.947167,6.8,Post-monsoon_2022
W171023074515801,17.173056,74.866111,5.4,Post-monsoon_2022
W171017075013001,17.172121,75.023445,1.2,Post-monsoon_2022
W170815075011001,17.1375,75.019444,3.2,Post-monsoon_2022
W170030074521001,17.008333,74.869444,6.1,Post-monsoon_2022
W165840074515401,16.977778,74.865,2.0,Post-monsoon_2022
W165417075082001,16.9045,75.140389,9.5,Post-monsoon_2022
W171259074263501,17.156847,74.443278,2.05,Post-monsoon_2022
W172009074411501,17.335833,74.6875,3.4,Post-monsoon_2022
W164750074441001,16.797222,74.736115,1.5,Post-monsoon_2022
W164730074481301,16.791666,74.803612,2.7,Post-monsoon_2022
W164804074441701,16.801111,74.738056,0.8,Post-monsoon_2022
W165018074351601,16.838333,74.587778,1.8,Post-monsoon_2022
W165204074345801,16.867778,74.582778,3.4,Post-monsoon_2022
W165519074293501,16.921944,74.493056,2.48,Post-monsoon_2022
W165259074331301,16.883056,74.553611,5.28,Post-monsoon_2022
W164839074384101,16.810833,74.644722,1.9,Post-monsoon_2022
W172422074370001,17.406111,74.616667,4.3,Post-monsoon_2022
W165501074340101,16.916944,74.566944,1.8,Post-monsoon_2022
W164715074490001,16.7875,74.816667,0.7,Post-monsoon_2022
W171305074490501,17.218056,74.818056,3.2,Post-monsoon_2022
W171756074431601,17.298889,74.721111,2.8,Post-monsoon_2022
W172231074353001,17.376861,74.591361,3.95,Post-monsoon_2022
W171615074341501,17.270833,74.570833,1.7,Post-monsoon_2022
W172423074321701,17.406389,74.538056,3.45,Post-monsoon_2022
W171207074322801,17.199833,74.539611,3.0,Post-monsoon_2022
W171512074391001,17.254194,74.651778,1.8,Post-monsoon_2022
W165000074382501,16.833333,74.640278,1.1,Post-monsoon_2022
W165407075151201,16.901778,75.252056,5.2,Post-monsoon_2022
W170004075042001,17.001111,75.072222,4.7,Post-monsoon_2022
W165645075110001,16.945833,75.183333,7.8,Post-monsoon_2022
W182418074053301,18.397404,74.082767,1.1,Post-monsoon_2022
W182253074010201,18.378204,74.029867,4.8,Post-monsoon_2022
W181840074074201,18.311504,74.132367,8.4,Post-monsoon_2022
W181130074090601,18.185104,74.153267,1.3,Post-monsoon_2022
W181623074071301,18.262404,74.127167,1.2,Post-monsoon_2022
W182528074163201,18.426204,74.274667,2.4,Post-monsoon_2022
W181536074031501,18.223004,74.118167,3.1,Post-monsoon_2022
W181125074051201,18.194304,74.083767,6.2,Post-monsoon_2022
W181953074053701,18.330104,74.094867,1.2,Post-monsoon_2022
W181657074084701,18.268704,74.143267,1.4,Post-monsoon_2022
W181305074043701,18.217104,74.074067,3.0,Post-monsoon_2022
W181700074070001,18.283333,74.116667,1.37,Post-monsoon_2022
W180640074121001,18.111111,74.202778,4.1,Post-monsoon_2022
W181505074050001,18.251389,74.083333,2.15,Post-monsoon_2022
W181810073583001,18.302778,73.975,0.1,Post-monsoon_2022
W180953074100701,18.164722,74.168611,4.8,Post-monsoon_2022
W181605074101501,18.268056,74.170833,0.95,Post-monsoon_2022
W180415074402001,18.071904,74.669067,2.55,Post-monsoon_2022
W181020074070501,18.175204,74.115067,2.1,Post-monsoon_2022
W182420074140301,18.406804,74.230467,1.8,Post-monsoon_2022
W181536074143501,18.272604,74.244867,8.1,Post-monsoon_2022
W182455074010501,18.415278,74.018056,1.2,Post-monsoon_2022
W171239075065501,17.210833,75.115278,6.0,Post-monsoon_2022
W170930075152001,17.158333,75.255556,2.7,Post-monsoon_2022
W171147075300801,17.196389,75.502222,3.9,Post-monsoon_2022
W170315075301301,17.071778,75.501944,5.9,Post-monsoon_2022
W170825075204201,17.140278,75.345,1.8,Post-monsoon_2022
W170705075162501,17.118889,75.272778,1.2,Post-monsoon_2022
W165850075201001,16.981028,75.335778,4.1,Post-monsoon_2022
W170537075363701,17.094472,75.609167,2.0,Post-monsoon_2022
W170328075382401,17.057778,75.64,0.1,Post-monsoon_2022
W171330075260602,17.225,75.435,5.9,Post-monsoon_2022
W171213075360001,17.202722,75.598833,3.0,Post-monsoon_2022
W170709075041701,17.119167,75.068611,0.1,Post-monsoon_2022
W171215075024501,17.204472,75.043361,3.5,Post-monsoon_2022
W170420075073001,17.073556,75.121611,0.1,Post-monsoon_2022
W171007075130301,17.169472,75.217139,1.0,Post-monsoon_2022
W170330075190001,17.058333,75.316667,3.1,Post-monsoon_2022
W170950075104501,17.163889,75.179167,1.24,Post-monsoon_2022
W170630075070501,17.108333,75.118056,2.02,Post-monsoon_2022
W170300075130001,17.05,75.216667,5.6,Post-monsoon_2022
W165455074365301,16.915277,74.614723,4.6,Post-monsoon_2022
W175343075343001,17.895278,75.575,2.8,Post-monsoon_2022
G_1_BK_021,24.4425,72.42,12.3,Post-monsoon_2022
W175035075321501,17.840575,75.536367,3.0,Post-monsoon_2022
BHILWL_272,25.5591,74.9301,2.7,Post-monsoon_2022
BHILWL_285,25.6373,74.9243,2.9,Post-monsoon_2022
BHILWL_281,25.6846,75.0964,6.75,Post-monsoon_2022
BHILWL_280,25.6929,75.0578,1.55,Post-monsoon_2022
BHN9,25.8717,74.7674,8.3,Post-monsoon_2022
BHILWL_294,25.7515,74.8014,4.1,Post-monsoon_2022
W254520074542001,25.756,74.906,2.8,Post-monsoon_2022
BHILWL_289,25.5605,74.7899,4.6,Post-monsoon_2022
W253340074480001,25.5603,74.7997,9.55,Post-monsoon_2022
BHILWL_279,25.501,74.81,5.4,Post-monsoon_2022
BHILWL_277,25.7421,74.9742,2.1,Post-monsoon_2022
BHILWL_276,25.5437,74.8328,1.5,Post-monsoon_2022
BHILWL_293,25.8561,74.9094,5.1,Post-monsoon_2022
BHILWL_282,25.6585,75.0663,4.8,Post-monsoon_2022
BHLPZ1819040,25.6484,75.0283,0.3,Post-monsoon_2022
BHILWL_274,25.7674,75.0223,3.9,Post-monsoon_2022
BHILWL_275,25.736,75.0178,1.3,Post-monsoon_2022
BHILWL_297,25.8165,74.9609,4.3,Post-monsoon_2022
BHLPZ1819039,25.7104,75.0229,1.1,Post-monsoon_2022
BHILWL_286,25.5641,74.8032,4.3,Post-monsoon_2022
W253615074540001,25.604,74.9,4.78,Post-monsoon_2022
CHITT7,24.967,74.7045,2.3,Post-monsoon_2022
W245700074410601,24.95,74.685,3.6,Post-monsoon_2022
W245420074384001,24.9056,74.6444,10.92,Post-monsoon_2022
CORPZ1819022,24.9397,74.7953,2.3,Post-monsoon_2022
CHITT6,24.9057,74.5579,10.3,Post-monsoon_2022
CHITT4,24.807,74.685,2.5,Post-monsoon_2022
CHITTOWL_225,24.893,74.8089,1.55,Post-monsoon_2022
CHITTOWL_228,25.0135,74.7631,0.9,Post-monsoon_2022
CHITTOWL_226,25.0156,74.7714,5.5,Post-monsoon_2022
